true,predicted,count,share_of_true_class
Acute upper respiratory infection,Lower respiratory disease,6,0.07317073170731707
Alcohol abuse with intoxication,Anxiety disorder,6,0.017391304347826087
Alcohol abuse with intoxication,Epilepsy,6,0.017391304347826087
Alcohol abuse with intoxication,Head injury,6,0.017391304347826087
Back or spine pain,Dehydration,6,0.007017543859649123
Back or spine pain,GI bleed,6,0.007017543859649123
Cardiovascular risk factor,Acute kidney failure,6,0.00801068090787717
Cardiovascular risk factor,Epilepsy,6,0.00801068090787717
Dehydration,Diabetes mellitus,6,0.046511627906976744
Dehydration,Hypokalemia,6,0.046511627906976744
Dehydration,Hypothyroidism,6,0.046511627906976744
Diabetes mellitus,Hypothyroidism,6,0.01411764705882353
Diabetes mellitus,Unspecified atrial fibrillation,6,0.01411764705882353
Head injury,Alcohol abuse with intoxication,6,0.01195219123505976
Head injury,Epilepsy,6,0.01195219123505976
Head injury,Hypothyroidism,6,0.01195219123505976
Head injury,Lower respiratory disease,6,0.01195219123505976
Hypokalemia,Heart failure,6,0.047244094488188976
Hypotension,Dehydration,6,0.1276595744680851
Limb injury or pain,Acute kidney failure,6,0.006644518272425249
Limb injury or pain,Non-ST elevation (NSTEMI) myocardial infarction,6,0.006644518272425249
Limb injury or pain,Unspecified atrial fibrillation,6,0.006644518272425249
Lower respiratory disease,Unsp intestnl obst,6,0.016260162601626018
Multiple fractures of ribs,Lower respiratory disease,6,0.08571428571428572
UTI or pyelonephritis,Unspecified atrial fibrillation,6,0.014527845036319613
Unsp intestnl obst,Cardiovascular risk factor,6,0.05128205128205128
Unsp intestnl obst,UTI or pyelonephritis,6,0.05128205128205128
Acute kidney failure,Cardiovascular risk factor,5,0.0390625
Acute kidney failure,Heart failure,5,0.0390625
Alcohol abuse with intoxication,Cardiovascular risk factor,5,0.014492753623188406
Anxiety disorder,Acute upper respiratory infection,5,0.036231884057971016
Anxiety disorder,Hypothyroidism,5,0.036231884057971016
Back or spine pain,Laceration w/o fb of l idx fngr w/o damage to nail,5,0.005847953216374269
