true,pred,count,pct_of_true_class
Head injury,Lower respiratory disease,7,0.6
Anxiety disorder,Head injury,7,2.4
UTI or pyelonephritis,GI bleed,7,0.8
Anemia,Cardiovascular risk factor,7,2.9
Cardiovascular risk factor,Dehydration,7,0.5
Back or spine pain,Alcohol abuse with intoxication,7,0.4
Acute pharyngitis,Acute upper respiratory infection,7,2.0
Acute upper respiratory infection,Skin or soft-tissue infection,7,4.0
UTI or pyelonephritis,Anemia,7,0.8
Limb injury or pain,Hypothyroidism,7,0.4
Heart failure,Diabetes mellitus,7,4.0
Multiple fractures of ribs,Lower respiratory disease,7,4.8
Acute upper respiratory infection,Unspecified asthma with (acute) exacerbation,7,4.0
Major depressive disorder,Cardiovascular risk factor,7,1.3
Lower respiratory disease,Anemia,7,0.9
Alcohol abuse with intoxication,Diabetes mellitus,6,0.8
Epilepsy,UTI or pyelonephritis,6,3.0
GI bleed,Lower respiratory disease,6,1.0
GI bleed,Acute kidney failure,6,1.0
Dehydration,Skin or soft-tissue infection,6,2.3
Acute pharyngitis,Lower respiratory disease,6,1.7
Hypokalemia,GI bleed,6,2.3
Heart failure,UTI or pyelonephritis,6,3.4
Hypokalemia,Back or spine pain,6,2.3
Skin or soft-tissue infection,Unsp intestnl obst,6,0.7
Acute kidney failure,Skin or soft-tissue infection,6,2.3
GI bleed,Dehydration,6,1.0
Alcohol abuse with intoxication,Dehydration,6,0.8
Hypokalemia,End stage renal disease,6,2.3
Athscl heart disease of native coronary artery w/o ang pctrs,Lower respiratory disease,6,4.0
Anxiety disorder,Back or spine pain,6,2.1
UTI or pyelonephritis,Acute pharyngitis,6,0.7
Sepsis,GI bleed,6,7.1
Hypothyroidism,Dehydration,6,4.6
Lower respiratory disease,Dehydration,6,0.8
Acute kidney failure,Limb injury or pain,6,2.3
Hypothyroidism,Back or spine pain,6,4.6
Hypotension,Acute kidney failure,5,5.1
Unspecified atrial fibrillation,Back or spine pain,5,1.3
Acute upper respiratory infection,Head injury,5,2.9
Diabetes mellitus,Dehydration,5,0.6
Anemia,Limb injury or pain,5,2.1
Hypotension,Hypokalemia,5,5.1
Heart failure,Acute kidney failure,5,2.8
End stage renal disease,Diabetes mellitus,5,5.5
Limb injury or pain,Anemia,5,0.3
Hypotension,Sepsis,5,5.1
Back or spine pain,Multiple fractures of ribs,5,0.3
GI bleed,Head injury,5,0.8
Epilepsy,Limb injury or pain,5,2.5
Limb injury or pain,Hypokalemia,5,0.3
Limb injury or pain,End stage renal disease,5,0.3
Athscl heart disease of native coronary artery w/o ang pctrs,Unspecified atrial fibrillation,5,3.3
Anemia,Acute kidney failure,5,2.1
Acute kidney failure,End stage renal disease,5,2.0
Epilepsy,Anxiety disorder,5,2.5
Limb injury or pain,Anxiety disorder,5,0.3
Skin or soft-tissue infection,Hypokalemia,5,0.6
Acute kidney failure,Back or spine pain,5,2.0
