epoch,train_loss,train_acc,train_f1,train_pr_auc,val_loss,val_acc,val_f1,val_pr_auc,val_roc_auc
29,0.655233,0.605417,0.421503,0.341459,0.652483,0.603333,0.419512,0.347411,0.659973
30,0.656721,0.61275,0.415104,0.336115,0.652525,0.597333,0.418112,0.346457,0.659633
31,0.65638,0.604833,0.416154,0.339155,0.652524,0.587333,0.415486,0.345821,0.65967
32,0.654908,0.596583,0.419614,0.343647,0.652577,0.579333,0.414113,0.345742,0.659698
33,0.656002,0.589583,0.419974,0.340977,0.652523,0.582,0.414566,0.345473,0.659693
34,0.65544,0.595667,0.418783,0.341571,0.652398,0.588667,0.418473,0.344863,0.659541
35,0.655688,0.59575,0.418276,0.341579,0.652244,0.595333,0.420248,0.344599,0.659556
36,0.654751,0.603667,0.416155,0.341336,0.652002,0.600667,0.422372,0.345091,0.659973
37,0.654933,0.607,0.419212,0.342699,0.651618,0.594667,0.418738,0.345204,0.660799
38,0.654792,0.603917,0.419162,0.342516,0.651305,0.585333,0.419776,0.34523,0.661407
39,0.654143,0.5955,0.419933,0.344723,0.651035,0.580667,0.417053,0.346931,0.662298
40,0.654151,0.595333,0.423825,0.344822,0.650748,0.583333,0.418605,0.347569,0.662702
41,0.654212,0.593917,0.420226,0.346234,0.65056,0.594,0.419447,0.348097,0.662802
42,0.653268,0.605833,0.420627,0.343671,0.650532,0.598667,0.420039,0.347491,0.662697
43,0.653482,0.61125,0.421288,0.346354,0.650468,0.590667,0.41635,0.347139,0.662859
44,0.653917,0.608417,0.421662,0.344871,0.650512,0.584667,0.417212,0.346615,0.662829
45,0.654014,0.599917,0.423303,0.342715,0.650671,0.582667,0.418216,0.345244,0.662334
46,0.653167,0.599,0.42454,0.345356,0.650738,0.586,0.420168,0.34466,0.662031
47,0.653367,0.597,0.423049,0.34383,0.650761,0.586667,0.417293,0.343331,0.661809
48,0.652907,0.605833,0.424014,0.346239,0.650742,0.588667,0.415166,0.343011,0.661753
49,0.652696,0.604333,0.422384,0.347429,0.650682,0.586667,0.415094,0.34328,0.661889
50,0.652167,0.60475,0.424742,0.34667,0.650582,0.588667,0.421743,0.343771,0.66217
51,0.652602,0.6035,0.425917,0.346372,0.650621,0.580667,0.419206,0.343608,0.662316
52,0.65212,0.591,0.425293,0.345742,0.650577,0.59,0.421449,0.343644,0.662033
53,0.651953,0.601833,0.421269,0.34648,0.650661,0.592,0.413793,0.343164,0.661708
54,0.652608,0.60925,0.421183,0.347721,0.650632,0.590667,0.417457,0.342975,0.66172
55,0.652299,0.60725,0.422072,0.346043,0.650652,0.580667,0.418131,0.343605,0.662096
56,0.651606,0.591917,0.42611,0.35052,0.650566,0.581333,0.418519,0.344083,0.662271
57,0.651447,0.596167,0.428942,0.348051,0.650534,0.593333,0.417939,0.344134,0.6622
58,0.650957,0.607917,0.427824,0.350721,0.650518,0.596,0.417308,0.344201,0.662134
59,0.651517,0.61725,0.426806,0.350119,0.650376,0.587333,0.418779,0.343832,0.662485
60,0.651524,0.6035,0.429086,0.349534,0.650514,0.581333,0.420664,0.344682,0.662872
61,0.65075,0.591,0.428239,0.348034,0.650414,0.588,0.414773,0.344188,0.66225
62,0.650701,0.6045,0.425006,0.350312,0.65067,0.596,0.412791,0.343792,0.661836
63,0.651452,0.61675,0.422744,0.348924,0.650394,0.586,0.416901,0.344137,0.662192
64,0.65035,0.604833,0.42895,0.346918,0.650499,0.581333,0.421731,0.343845,0.662576
65,0.650925,0.589583,0.429779,0.349043,0.650216,0.588667,0.419567,0.343683,0.662268
66,0.650099,0.608333,0.427527,0.348034,0.650434,0.593333,0.413462,0.343786,0.661859
67,0.650222,0.60925,0.424309,0.351327,0.650503,0.591333,0.416746,0.343526,0.661589
68,0.650153,0.609417,0.426947,0.350867,0.650788,0.588,0.426716,0.34291,0.661227
69,0.649182,0.599083,0.43233,0.352261,0.650958,0.591333,0.420057,0.342473,0.660705
70,0.649228,0.60325,0.425763,0.35238,0.65113,0.599333,0.415938,0.34236,0.660506
71,0.649095,0.621833,0.428751,0.352148,0.650956,0.586667,0.421642,0.342512,0.661018
