true,predicted,count,share_of_true_class
Unspecified atrial fibrillation,Dehydration,4,0.0223463687150838
Unspecified atrial fibrillation,Hypokalemia,4,0.0223463687150838
Unspecified atrial fibrillation,Multiple fractures of ribs,4,0.0223463687150838
Acute kidney failure,Cardiovascular risk factor,3,0.0234375
Acute kidney failure,Diabetes mellitus,3,0.0234375
Acute kidney failure,Unspecified atrial fibrillation,3,0.0234375
Acute pharyngitis,Back or spine pain,3,0.017857142857142856
Acute upper respiratory infection,Anxiety disorder,3,0.036585365853658534
Alcohol abuse with intoxication,Back or spine pain,3,0.008695652173913044
Alcohol abuse with intoxication,Epilepsy,3,0.008695652173913044
Anemia,End stage renal disease,3,0.02631578947368421
Anemia,Lower respiratory disease,3,0.02631578947368421
Anemia,UTI or pyelonephritis,3,0.02631578947368421
Anxiety disorder,Alcohol abuse with intoxication,3,0.021739130434782608
Back or spine pain,End stage renal disease,3,0.0035087719298245615
Back or spine pain,Epilepsy,3,0.0035087719298245615
Back or spine pain,GI bleed,3,0.0035087719298245615
Back or spine pain,Sepsis,3,0.0035087719298245615
Back or spine pain,Unsp intestnl obst,3,0.0035087719298245615
Cardiovascular risk factor,Alcohol abuse with intoxication,3,0.004005340453938585
Cardiovascular risk factor,Laceration w/o fb of l idx fngr w/o damage to nail,3,0.004005340453938585
Cardiovascular risk factor,Non-ST elevation (NSTEMI) myocardial infarction,3,0.004005340453938585
Cardiovascular risk factor,Sepsis,3,0.004005340453938585
Dehydration,Lower respiratory disease,3,0.023255813953488372
Dehydration,Unspecified atrial fibrillation,3,0.023255813953488372
End stage renal disease,Hypokalemia,3,0.06818181818181818
Epilepsy,Dehydration,3,0.030927835051546393
GI bleed,Cardiovascular risk factor,3,0.009933774834437087
GI bleed,Hypothyroidism,3,0.009933774834437087
Head injury,GI bleed,3,0.00597609561752988
Head injury,Heart failure,3,0.00597609561752988
Head injury,Hypotension,3,0.00597609561752988
Head injury,Lower respiratory disease,3,0.00597609561752988
Head injury,Unspecified asthma with (acute) exacerbation,3,0.00597609561752988
Heart failure,Acute kidney failure,3,0.03529411764705882
Hypotension,End stage renal disease,3,0.06382978723404255
Hypotension,Lower respiratory disease,3,0.06382978723404255
Hypothyroidism,Acute upper respiratory infection,3,0.046153846153846156
Hypothyroidism,Dehydration,3,0.046153846153846156
Hypothyroidism,Limb injury or pain,3,0.046153846153846156
Laceration w/o fb of l idx fngr w/o damage to nail,Diabetes mellitus,3,0.02459016393442623
Laceration w/o fb of l idx fngr w/o damage to nail,Hypothyroidism,3,0.02459016393442623
Laceration w/o fb of l idx fngr w/o damage to nail,Skin or soft-tissue infection,3,0.02459016393442623
Lower respiratory disease,Limb injury or pain,3,0.008130081300813009
Major depressive disorder,Head injury,3,0.011235955056179775
Multiple fractures of ribs,Unspecified atrial fibrillation,3,0.04285714285714286
Non-ST elevation (NSTEMI) myocardial infarction,Anemia,3,0.041666666666666664
Non-ST elevation (NSTEMI) myocardial infarction,Sepsis,3,0.041666666666666664
Skin or soft-tissue infection,Alcohol abuse with intoxication,3,0.007712082262210797
Skin or soft-tissue infection,Heart failure,3,0.007712082262210797
UTI or pyelonephritis,Heart failure,3,0.007263922518159807
Unsp intestnl obst,Acute kidney failure,3,0.02564102564102564
Unsp intestnl obst,Lower respiratory disease,3,0.02564102564102564
Unspecified atrial fibrillation,Head injury,3,0.01675977653631285
Acute kidney failure,Lower respiratory disease,2,0.015625
Acute pharyngitis,Alcohol abuse with intoxication,2,0.011904761904761904
Acute pharyngitis,Cardiovascular risk factor,2,0.011904761904761904
Acute pharyngitis,Dehydration,2,0.011904761904761904
Acute pharyngitis,Hypokalemia,2,0.011904761904761904
Acute pharyngitis,Hypothyroidism,2,0.011904761904761904
Acute pharyngitis,Sepsis,2,0.011904761904761904
Acute pharyngitis,Skin or soft-tissue infection,2,0.011904761904761904
Acute upper respiratory infection,Cardiovascular risk factor,2,0.024390243902439025
Acute upper respiratory infection,Hypothyroidism,2,0.024390243902439025
Acute upper respiratory infection,Limb injury or pain,2,0.024390243902439025
Alcohol abuse with intoxication,Hypokalemia,2,0.005797101449275362
Alcohol abuse with intoxication,Hypotension,2,0.005797101449275362
Alcohol abuse with intoxication,Laceration w/o fb of l idx fngr w/o damage to nail,2,0.005797101449275362
Anemia,Acute upper respiratory infection,2,0.017543859649122806
Anemia,Anxiety disorder,2,0.017543859649122806
Anxiety disorder,Acute upper respiratory infection,2,0.014492753623188406
Anxiety disorder,Cardiovascular risk factor,2,0.014492753623188406
Anxiety disorder,Diabetes mellitus,2,0.014492753623188406
Anxiety disorder,Laceration w/o fb of l idx fngr w/o damage to nail,2,0.014492753623188406
Anxiety disorder,Limb injury or pain,2,0.014492753623188406
Back or spine pain,Heart failure,2,0.0023391812865497076
Back or spine pain,Laceration w/o fb of l idx fngr w/o damage to nail,2,0.0023391812865497076
Cardiovascular risk factor,Major depressive disorder,2,0.0026702269692923898
Dehydration,Back or spine pain,2,0.015503875968992248
Dehydration,Epilepsy,2,0.015503875968992248
Dehydration,Head injury,2,0.015503875968992248
Dehydration,Hypotension,2,0.015503875968992248
Dehydration,Unsp intestnl obst,2,0.015503875968992248
Dehydration,Unspecified asthma with (acute) exacerbation,2,0.015503875968992248
Diabetes mellitus,Alcohol abuse with intoxication,2,0.004705882352941176
Diabetes mellitus,Back or spine pain,2,0.004705882352941176
Diabetes mellitus,Epilepsy,2,0.004705882352941176
Diabetes mellitus,GI bleed,2,0.004705882352941176
End stage renal disease,Heart failure,2,0.045454545454545456
End stage renal disease,Multiple fractures of ribs,2,0.045454545454545456
Epilepsy,Acute upper respiratory infection,2,0.020618556701030927
Epilepsy,Back or spine pain,2,0.020618556701030927
Epilepsy,Diabetes mellitus,2,0.020618556701030927
Epilepsy,Unsp intestnl obst,2,0.020618556701030927
GI bleed,Acute upper respiratory infection,2,0.006622516556291391
GI bleed,Anxiety disorder,2,0.006622516556291391
GI bleed,Back or spine pain,2,0.006622516556291391
GI bleed,End stage renal disease,2,0.006622516556291391
GI bleed,Unspecified asthma with (acute) exacerbation,2,0.006622516556291391
Head injury,Acute upper respiratory infection,2,0.00398406374501992
Head injury,Anemia,2,0.00398406374501992
Head injury,Hypokalemia,2,0.00398406374501992
Heart failure,Anemia,2,0.023529411764705882
Heart failure,Diabetes mellitus,2,0.023529411764705882
Heart failure,End stage renal disease,2,0.023529411764705882
Heart failure,Non-ST elevation (NSTEMI) myocardial infarction,2,0.023529411764705882
Heart failure,Unspecified asthma with (acute) exacerbation,2,0.023529411764705882
Hypokalemia,Acute upper respiratory infection,2,0.015748031496062992
Hypokalemia,Anxiety disorder,2,0.015748031496062992
Hypokalemia,Lower respiratory disease,2,0.015748031496062992
Hypokalemia,Sepsis,2,0.015748031496062992
Hypokalemia,UTI or pyelonephritis,2,0.015748031496062992
Hypokalemia,Unsp intestnl obst,2,0.015748031496062992
Hypotension,Cardiovascular risk factor,2,0.0425531914893617
Hypotension,Multiple fractures of ribs,2,0.0425531914893617
Hypothyroidism,Back or spine pain,2,0.03076923076923077
Hypothyroidism,Cardiovascular risk factor,2,0.03076923076923077
Hypothyroidism,GI bleed,2,0.03076923076923077
Laceration w/o fb of l idx fngr w/o damage to nail,Cardiovascular risk factor,2,0.01639344262295082
Limb injury or pain,Hypotension,2,0.0022148394241417496
Limb injury or pain,Non-ST elevation (NSTEMI) myocardial infarction,2,0.0022148394241417496
Limb injury or pain,Sepsis,2,0.0022148394241417496
Lower respiratory disease,Alcohol abuse with intoxication,2,0.005420054200542005
Lower respiratory disease,Anxiety disorder,2,0.005420054200542005
Lower respiratory disease,Head injury,2,0.005420054200542005
Lower respiratory disease,Non-ST elevation (NSTEMI) myocardial infarction,2,0.005420054200542005
Major depressive disorder,Acute upper respiratory infection,2,0.00749063670411985
Major depressive disorder,Cardiovascular risk factor,2,0.00749063670411985
Major depressive disorder,End stage renal disease,2,0.00749063670411985
Major depressive disorder,Laceration w/o fb of l idx fngr w/o damage to nail,2,0.00749063670411985
Major depressive disorder,Limb injury or pain,2,0.00749063670411985
Multiple fractures of ribs,Anemia,2,0.02857142857142857
Multiple fractures of ribs,Limb injury or pain,2,0.02857142857142857
Multiple fractures of ribs,Lower respiratory disease,2,0.02857142857142857
Non-ST elevation (NSTEMI) myocardial infarction,Acute kidney failure,2,0.027777777777777776
Non-ST elevation (NSTEMI) myocardial infarction,Diabetes mellitus,2,0.027777777777777776
Non-ST elevation (NSTEMI) myocardial infarction,Lower respiratory disease,2,0.027777777777777776
Sepsis,Acute kidney failure,2,0.04878048780487805
Skin or soft-tissue infection,Acute kidney failure,2,0.005141388174807198
Skin or soft-tissue infection,Dehydration,2,0.005141388174807198
Skin or soft-tissue infection,Head injury,2,0.005141388174807198
Skin or soft-tissue infection,Laceration w/o fb of l idx fngr w/o damage to nail,2,0.005141388174807198
Skin or soft-tissue infection,Unspecified asthma with (acute) exacerbation,2,0.005141388174807198
Skin or soft-tissue infection,Unspecified atrial fibrillation,2,0.005141388174807198
UTI or pyelonephritis,Acute pharyngitis,2,0.004842615012106538
UTI or pyelonephritis,Non-ST elevation (NSTEMI) myocardial infarction,2,0.004842615012106538
UTI or pyelonephritis,Unspecified asthma with (acute) exacerbation,2,0.004842615012106538
Unsp intestnl obst,Cardiovascular risk factor,2,0.017094017094017096
Unsp intestnl obst,GI bleed,2,0.017094017094017096
Unsp intestnl obst,Hypothyroidism,2,0.017094017094017096
