epoch,train_loss,val_acc,val_balanced_acc,val_f1,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_specificity,val_threshold,val_tn,val_tp
10,0.6855468153953552,0.524,0.5567524164469897,0.3714788732394366,131,583,0.6827271580696106,0.29009772963049796,0.26574307304785894,0.6169590643274854,0.5908882020826389,0.49654576856649396,0.5,575,211
11,0.6841426491737366,0.5193333333333333,0.5630018483168197,0.37898363479758823,122,599,0.6816232204437256,0.2917105479491757,0.2686202686202686,0.6432748538011696,0.5964154773808441,0.48272884283246975,0.5,559,220
12,0.6829966902732849,0.5246666666666666,0.5716071266248524,0.38693035253654345,117,596,0.6804271340370178,0.294330060319132,0.2740560292326431,0.6578947368421053,0.6014200729226636,0.4853195164075993,0.5,562,225
13,0.6812407970428467,0.5313333333333333,0.5769551252916402,0.3913419913419913,116,587,0.6790986657142639,0.29671538933744224,0.2779827798277983,0.6608187134502924,0.6051167065620296,0.4930915371329879,0.5,571,226
14,0.6807312965393066,0.544,0.5789776686967851,0.3914590747330961,122,562,0.6777123808860779,0.29967789853110544,0.2813299232736573,0.6432748538011696,0.6083941863870961,0.5146804835924007,0.5,596,220
15,0.6778656840324402,0.5593333333333333,0.5816971184437778,0.3919043238270469,129,532,0.676330029964447,0.30202451682158105,0.2859060402684564,0.6228070175438597,0.6109848599622257,0.540587219343696,0.5,626,213
16,0.6769084930419922,0.5693333333333334,0.5768414992576433,0.38476190476190475,140,506,0.6750423908233643,0.30466149285807836,0.2853107344632768,0.5906432748538012,0.613464432526336,0.5630397236614854,0.5,652,202
17,0.6752781271934509,0.586,0.5845453443626337,0.39057899901864573,143,478,0.6739163398742676,0.3064207182299607,0.29394387001477107,0.5818713450292398,0.6155172762072134,0.5872193436960277,0.5,680,199
18,0.6750320196151733,0.5866666666666667,0.5808562857922007,0.38613861386138615,147,473,0.6729641556739807,0.30847884041493134,0.29191616766467066,0.5701754385964912,0.6172317668090779,0.5915371329879102,0.5,685,195
19,0.6741400361061096,0.594,0.580454807138745,0.38422649140546006,152,457,0.6721693277359009,0.3096935963760269,0.2936630602782071,0.5555555555555556,0.6186861800442385,0.6053540587219344,0.5,701,190
20,0.6744199395179749,0.5986666666666667,0.5814168408932521,0.38445807770961143,154,448,0.6714310646057129,0.3107668775206213,0.29559748427672955,0.5497076023391813,0.6202693694512621,0.613126079447323,0.5,710,188
21,0.6714065670967102,0.5953333333333334,0.5802881556222161,0.383756345177665,153,454,0.6707139015197754,0.3121444026031648,0.2939346811819596,0.5526315789473685,0.6216985324566454,0.6079447322970639,0.5,704,189
22,0.6702682375907898,0.594,0.5845756446383662,0.3891675025075225,148,461,0.6700164675712585,0.31355424749819727,0.2961832061068702,0.5672514619883041,0.6234079730125545,0.6018998272884283,0.5,697,194
23,0.671289324760437,0.5873333333333334,0.5833484834711996,0.38894373149062195,145,474,0.6693519353866577,0.31436453092890926,0.293591654247392,0.5760233918128655,0.6248295609490047,0.5906735751295337,0.5,684,197
24,0.6702618598937988,0.5826666666666667,0.5823864497166924,0.388671875,143,483,0.6687237620353699,0.3155799967796345,0.29178885630498536,0.5818713450292398,0.6262814491611873,0.582901554404145,0.5,675,199
25,0.6708253622055054,0.584,0.5914916825743115,0.3988439306358382,135,489,0.668117105960846,0.31678342941510357,0.2974137931034483,0.6052631578947368,0.6282762173135776,0.5777202072538861,0.5,669,207
26,0.6703261137008667,0.5766666666666667,0.5877723237281459,0.39581351094196005,134,501,0.667518138885498,0.31838982710903385,0.2933709449929478,0.6081871345029239,0.6300083830762859,0.5673575129533679,0.5,657,208
27,0.6695486307144165,0.574,0.5850149986364876,0.39316239316239315,135,504,0.6668658256530762,0.3201673613428464,0.2911392405063291,0.6052631578947368,0.6317430738619721,0.5647668393782384,0.5,654,207
28,0.6699156761169434,0.572,0.5795988243493015,0.3874045801526718,139,503,0.6661332845687866,0.3223487379339028,0.28753541076487255,0.5935672514619883,0.6335282651072126,0.5656303972366149,0.5,655,203
29,0.6682306528091431,0.5726666666666667,0.5820910220283004,0.390104662226451,137,504,0.6653480529785156,0.32364103638158903,0.28913963328631875,0.5994152046783626,0.6349675282045066,0.5647668393782384,0.5,654,205
